Train %,Theta0,Theta1,Train_RSS,Test_RSS,Train_R2,Test_R2
10,6568.969839748588,11987.634270461514,56064205.8888908,120826390.34978579,0.8770411249747863,0.8264296487036057
20,15192.389174065027,11371.013402280929,66469461.76347306,58577303.58257248,0.8698708112339797,0.9233590573116566
30,13984.473867318353,11168.950072934724,56695017.65533904,63454489.10876684,0.9121420030743614,0.9066524045567211
40,16358.021771322146,10815.712196186812,49730800.95687387,51069250.2426921,0.9385825507304486,0.9235010142882669
50,15814.26231372902,10891.764560664335,48614836.86573933,57033010.52729518,0.9324913203313416,0.9208371660011447
60,18238.88364910882,10564.828122761077,47142839.713722244,38293548.72543798,0.9372862862751652,0.9376655024570958
70,18167.982777390283,10540.204226647495,45469322.75848001,40166988.42208219,0.9408301599460185,0.9287127390229062
80,17786.62806384457,10509.41583281978,42912708.2581565,56630861.28363603,0.9487181728803783,0.7743977460210231
90,17512.068841372795,10593.043809627121,40343015.88992692,100034962.9717278,0.9481157740085422,0.594531546938321
