Theta Initialization,Learning Rate,Theta0,Theta1,Train RSS,Test RSS,Train R2,Test R2
first,0.0001,4662.539541771034,12666.492218435875,139223067.36050096,111494221.10930443,0.814792752338201,0.8185089529931919
first,0.05,25069.408582380107,9507.439153604062,35524979.02776478,25389760.922331538,0.9527414263044595,0.9586703754939103
first,0.1,nan,nan,nan,nan,nan,nan
first,1,nan,nan,nan,nan,nan,nan
first,10,nan,nan,nan,nan,nan,nan
first,100,nan,nan,nan,nan,nan,nan
first,1000,nan,nan,nan,nan,nan,nan
second,0.0001,4662.990415071496,12666.42242170274,139218485.1599854,111490739.48635365,0.8147988480000896,0.8185146204025728
second,0.05,25069.408582380107,9507.439153604062,35524979.02776478,25389760.922331538,0.9527414263044595,0.9586703754939103
second,0.1,nan,nan,nan,nan,nan,nan
second,1,nan,nan,nan,nan,nan,nan
second,10,nan,nan,nan,nan,nan,nan
second,100,nan,nan,nan,nan,nan,nan
second,1000,nan,nan,nan,nan,nan,nan
third,0.0001,4720.934718622774,12657.452448946968,138630442.97077155,111043877.07033367,0.8155811154607778,0.819242026064898
third,0.05,25069.408582380107,9507.439153604062,35524979.02776478,25389760.922331538,0.9527414263044595,0.9586703754939103
third,0.1,nan,nan,nan,nan,nan,nan
third,1,nan,nan,nan,nan,nan,nan
third,10,nan,nan,nan,nan,nan,nan
third,100,nan,nan,nan,nan,nan,nan
third,1000,nan,nan,nan,nan,nan,nan
